source_id,filename,source_path,title,isbn,first_author,main_category,sub_category,status,destination_path,notes,updated_at,copy_status
SRC-000044,A Geometric Approach to Differential Forms - Bachman.pdf,D:\Readings\Analysis\A Geometric Approach to Differential Forms - Bachman.pdf,A Geometric Approach to Differential Forms,,Bachman,03-analysis,calculus,pending,,classifier=calculus,2026-06-26T00:22:25+00:00,
SRC-000045,A Journey Through Ergodic Theorems - Eisner.pdf,D:\Readings\Analysis\A Journey Through Ergodic Theorems - Eisner.pdf,A Journey Through Ergodic Theorems,,Eisner,03-analysis,functional-analysis,pending,,classifier=functional-analysis,2026-06-26T00:22:25+00:00,
SRC-000046,A Model–Theoretic Approach to Proof Theory - Kotlarsky.pdf,D:\Readings\Analysis\A Model–Theoretic Approach to Proof Theory - Kotlarsky.pdf,A Model–Theoretic Approach to Proof Theory,9781107197657,Kotlarsky,00-foundations,mathematical-logic,pending,,classifier=logic-model-theory,2026-06-26T00:22:25+00:00,
SRC-000047,A Problem Book in Real Analysis - Aksoy.pdf,D:\Readings\Analysis\A Problem Book in Real Analysis - Aksoy.pdf,A Problem Book in Real Analysis,9781441912954,Aksoy,03-analysis,real-analysis,pending,,classifier=real-analysis | local_bib=volume-iii-bounds-sequences-and-series,2026-06-26T00:22:25+00:00,
SRC-000049,A Radical Approach to Real Analysis - Bressoud.pdf,D:\Readings\Analysis\A Radical Approach to Real Analysis - Bressoud.pdf,A Radical Approach to Real Analysis,9781470469047,Bressoud,03-analysis,real-analysis,pending,,classifier=real-analysis | local_bib=volume-iii-bounds-sequences-and-series,2026-06-26T00:22:25+00:00,
SRC-000050,a-first-course-in-mathematical-modeling.pdf,D:\Readings\Analysis\a-first-course-in-mathematical-modeling.pdf,A First Course in Mathematical Modeling,9781285050904,Giordano,00-foundations,mathematical-logic,pending,,classifier=logic-model-theory | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000051,AAAfinal.pdf,D:\Readings\Analysis\AAAfinal.pdf,AAAfinal,,,08-applied-and-computational-mathematics,numerical-analysis,pending,,classifier=numerical-analysis | flags=ambiguous_subject;manual_subject_review;missing_toc,2026-06-26T00:22:25+00:00,
SRC-000052,An Axiomatic Construction of the Real Number System.pdf,D:\Readings\Analysis\An Axiomatic Construction of the Real Number System.pdf,An Axiomatic Construction of the Real Number System,,Leonard Van Wyk,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000053,An Introduction to Mathematical Analysis - Deo.pdf,D:\Readings\Analysis\An Introduction to Mathematical Analysis - Deo.pdf,Introduction to Mathematical Analysis,9789819765676,Deo,03-analysis,real-analysis,pending,,classifier=real-analysis | local_bib=volume-i-foundational-geometry,2026-06-26T00:22:25+00:00,
SRC-000054,An Introduction to Mathematical Logic - Hodel.pdf,D:\Readings\Analysis\An Introduction to Mathematical Logic - Hodel.pdf,An Introduction to Mathematical Logic,053494440X,Hodel,00-foundations,mathematical-logic,pending,,classifier=logic-model-theory,2026-06-26T00:22:25+00:00,
SRC-000055,An Introduction to Partial Differential Equations - Pinchover.pdf,D:\Readings\Analysis\An Introduction to Partial Differential Equations - Pinchover.pdf,An Introduction to Partial Differential Equations,9780521848862,Pinchover,05-differential-equations-and-dynamical-systems,partial-differential-equations,pending,,classifier=partial-differential-equations | local_bib=volume-vi-algebra,2026-06-26T00:22:25+00:00,
SRC-000057,An Introduction to Real Analysis - Hunter.pdf,D:\Readings\Analysis\An Introduction to Real Analysis - Hunter.pdf,An Introduction to Real Analysis,,Hunter,03-analysis,real-analysis,pending,,classifier=real-analysis,2026-06-26T00:22:25+00:00,
SRC-000058,Analysis 1 - Tao.pdf,D:\Readings\Analysis\Analysis 1 - Tao.pdf,Analysis 1,9789380250649,Tao,03-analysis,real-analysis,pending,,classifier=real-analysis | local_bib=volume-iii-bounds-sequences-and-series,2026-06-26T00:22:25+00:00,
SRC-000059,Analysis 2 - Tao.pdf,D:\Readings\Analysis\Analysis 2 - Tao.pdf,Analysis 2,9788195196128,Tao,03-analysis,real-analysis,pending,,classifier=real-analysis | local_bib=volume-iii-bounds-sequences-and-series | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000062,Applied Stochastic Processes in Science and Engineering - Scott.pdf,D:\Readings\Analysis\Applied Stochastic Processes in Science and Engineering - Scott.pdf,Applied Stochastic Processes in Science and Engineering,,Scott,06-probability-statistics-and-information,stochastic-calculus,pending,,classifier=stochastic-calculus | local_bib=volume-iii-bounds-sequences-and-series | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000063,Basic Analysis I - Lebl.pdf,D:\Readings\Analysis\Basic Analysis I - Lebl.pdf,Basic Analysis I,,Lebl,03-analysis,real-analysis,pending,,classifier=real-analysis,2026-06-26T00:22:25+00:00,
SRC-000064,Basic Analysis II - Lebl.pdf,D:\Readings\Analysis\Basic Analysis II - Lebl.pdf,Basic Analysis II,,Lebl,03-analysis,calculus,pending,,classifier=calculus | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000065,Basic Mathematics - Serge Lang.pdf,D:\Readings\Analysis\Basic Mathematics - Serge Lang.pdf,Basic Mathematics,,Serge Lang,00-foundations,mathematical-logic,pending,,classifier=logic-model-theory | flags=manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000066,Basic Real Analysis - Knapp (1).pdf,D:\Readings\Analysis\Basic Real Analysis - Knapp (1).pdf,Basic Real Analysis,9780817632502,Knapp (1),03-analysis,real-analysis,pending,,classifier=real-analysis | local_bib=volume-iii-bounds-sequences-and-series,2026-06-26T00:22:25+00:00,
SRC-000068,Basic Real Analysis - Sohrab.pdf,D:\Readings\Analysis\Basic Real Analysis - Sohrab.pdf,Basic Real Analysis,9781493918409,Sohrab,03-analysis,real-analysis,pending,,classifier=real-analysis | local_bib=volume-iii-bounds-sequences-and-series,2026-06-26T00:22:25+00:00,
SRC-000070,bok%3A978-3-031-63190-0.pdf,D:\Readings\Analysis\bok%3A978-3-031-63190-0.pdf,Probability Theory I,9783031631894,Andrea Pascucci,06-probability-statistics-and-information,probability-theory,pending,,classifier=probability | local_bib=volume-iii-bounds-sequences-and-series,2026-06-26T00:22:25+00:00,
SRC-000071,Brownian Motion and Stochastic Calculus - Shreve.pdf,D:\Readings\Analysis\Brownian Motion and Stochastic Calculus - Shreve.pdf,Brownian Motion and Stochastic Calculus,9780387976556,Shreve,06-probability-statistics-and-information,stochastic-calculus,pending,,classifier=stochastic-calculus | local_bib=volume-iii-bounds-sequences-and-series,2026-06-26T00:22:25+00:00,
SRC-000072,Calculus 1 - Apostol.pdf,D:\Readings\Analysis\Calculus 1 - Apostol.pdf,Calculus 1,0471000051,Apostol,03-analysis,calculus,pending,,classifier=calculus,2026-06-26T00:22:25+00:00,
SRC-000073,Calculus by Michael Spivak.pdf,D:\Readings\Analysis\Calculus by Michael Spivak.pdf,Calculus,9780914098911,Michael Spivak,03-analysis,calculus,pending,,classifier=calculus | local_bib=volume-vi-algebra,2026-06-26T00:22:25+00:00,
SRC-000074,Calculus of Several Variables - Lang.pdf,D:\Readings\Analysis\Calculus of Several Variables - Lang.pdf,Calculus of Several Variables,9781461210689,Lang,03-analysis,calculus,pending,,classifier=calculus,2026-06-26T00:22:25+00:00,
SRC-000075,Calculus On Manifolds - Spivak.pdf,D:\Readings\Analysis\Calculus On Manifolds - Spivak.pdf,Calculus On Manifolds,,Spivak,03-analysis,calculus,pending,,classifier=calculus | flags=ambiguous_subject;manual_subject_review;missing_toc;needs_ocr,2026-06-26T00:22:25+00:00,
SRC-000076,Calculus to Analysis-Portnoy.pdf,D:\Readings\Analysis\Calculus to Analysis-Portnoy.pdf,Calculus to Analysis,9783031696619,Arturo Portnoy,03-analysis,calculus,pending,,classifier=calculus,2026-06-26T00:22:25+00:00,
SRC-000077,(Springer Undergraduate Mathematics Series) Robert Magnus - Metric Spaces - A Companion to Analysis-Springer Nature Switzerland (2022).pdf,D:\Readings\Analysis\calculus\(Springer Undergraduate Mathematics Series) Robert Magnus - Metric Spaces - A Companion to Analysis-Springer Nature Switzerland (2022).pdf,(Springer Undergraduate Mathematics Series) Robert Magnus - Metric Spaces - A Companion to Analysis-Springer Nature Switzerland ( ),9783030949457,,03-analysis,real-analysis,pending,,classifier=real-analysis | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000079,14039_dor.pdf,D:\Readings\Analysis\calculus\14039_dor.pdf,Form 14039 (Rev. 5-2024),,SE:W:CAS:AM:IPSO:IP,04-topology-and-geometry,point-set-topology,pending,,classifier=topology | flags=manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000080,20377572-tarski-introduction-to-logic-and-to-the-methodology-of-the-deductive-sciences-4ed-oup-1994-1-copy.pdf,D:\Readings\Analysis\calculus\20377572-tarski-introduction-to-logic-and-to-the-methodology-of-the-deductive-sciences-4ed-oup-1994-1-copy.pdf,20377572-tarski-introduction-to-logic-and-to-the-methodology-of-the-deductive-sciences- -oup- -1-copy,,Jan Tarski Introduction,00-foundations,mathematical-logic,pending,,classifier=logic-model-theory,2026-06-26T00:22:25+00:00,
SRC-000081,346299586.pdf,D:\Readings\Analysis\calculus\346299586.pdf,346299586,,AGI,03-analysis,measure-theory,pending,,classifier=measure-theory,2026-06-26T00:22:25+00:00,
SRC-000082,A Concise Introduction to Logic (1).pdf,D:\Readings\Analysis\calculus\A Concise Introduction to Logic (1).pdf,A Concise Introduction to Logic,9781942341420,Craig DeLancey,00-foundations,mathematical-logic,pending,,classifier=logic-model-theory | local_bib=volume-viii-applied-methods,2026-06-26T00:22:25+00:00,
SRC-000085,course_setsmodelsproofs.pdf,D:\Readings\Analysis\calculus\course_setsmodelsproofs.pdf,course setsmodelsproofs,,,00-foundations,mathematical-logic,pending,,classifier=logic-model-theory,2026-06-26T00:22:25+00:00,
SRC-000086,Database Internals PDF.pdf,D:\Readings\Analysis\calculus\Database Internals PDF.pdf,Database Internals PDF,,Alex Petrov,01-algebra,linear-algebra,pending,,classifier=linear-algebra | flags=ambiguous_subject;manual_subject_review;missing_toc,2026-06-26T00:22:25+00:00,
SRC-000087,FOAGsep1815public.pdf,D:\Readings\Analysis\calculus\FOAGsep1815public.pdf,FOAGsep1815public,,Ravi Vakil,00-foundations,category-theory,pending,,classifier=category-theory,2026-06-26T00:22:25+00:00,
SRC-000088,Fullbook_Draft.pdf,D:\Readings\Analysis\calculus\Fullbook_Draft.pdf,Fullbook Draft,,Induction,00-foundations,mathematical-logic,pending,,classifier=logic-model-theory,2026-06-26T00:22:25+00:00,
SRC-000089,gsm-126-tao5-measure-book.pdf,D:\Readings\Analysis\calculus\gsm-126-tao5-measure-book.pdf,gsm-126-tao5-measure-book,,,03-analysis,functional-analysis,pending,,classifier=functional-analysis | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000090,Introduction-to-The-Calculus-of-Variations-B.-Dacorogna-ICP-2004-WW.pdf,D:\Readings\Analysis\calculus\Introduction-to-The-Calculus-of-Variations-B.-Dacorogna-ICP-2004-WW.pdf,Introduction-to-The-Calculus-of-Variations-B.-Dacorogna-ICP- -WW,186094499X,Administrateur,03-analysis,calculus,pending,,classifier=calculus,2026-06-26T00:22:25+00:00,
SRC-000091,manin.pdf,D:\Readings\Analysis\calculus\manin.pdf,manin,9056990497,"Alexei I. Kostrikin, Yu I Manin",01-algebra,linear-algebra,pending,,classifier=linear-algebra,2026-06-26T00:22:25+00:00,
SRC-000092,Mastering Calculus through practice.pdf,D:\Readings\Analysis\calculus\Mastering Calculus through practice.pdf,Mastering Calculus through practice,9783030833398,,03-analysis,calculus,pending,,classifier=calculus,2026-06-26T00:22:25+00:00,
SRC-000093,Mathematics and Its History e3 - Stillwell.pdf,D:\Readings\Analysis\calculus\Mathematics and Its History e3 - Stillwell.pdf,Mathematics and Its History,9781441960528,Stillwell,04-topology-and-geometry,euclidean-and-classical-geometry,pending,,classifier=geometry | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000094,matrix-algebra-for-engineers.pdf,D:\Readings\Analysis\calculus\matrix-algebra-for-engineers.pdf,Matrix Algebra for Engineers,,Jeffrey R. Chasnov,01-algebra,linear-algebra,pending,,classifier=linear-algebra | local_bib=volume-iv-mathematical-spaces,2026-06-26T00:22:25+00:00,
SRC-000095,measure (1).pdf,D:\Readings\Analysis\calculus\measure (1).pdf,measure (1),,Walter Rudin,03-analysis,measure-theory,pending,,classifier=measure-theory,2026-06-26T00:22:25+00:00,
SRC-000096,MIRA (3).pdf,D:\Readings\Analysis\calculus\MIRA (3).pdf,"Measure, Integration & Real Analysis",,Sheldon Axler,03-analysis,real-analysis,pending,,classifier=real-analysis | local_bib=volume-iii-bounds-sequences-and-series,2026-06-26T00:22:25+00:00,
SRC-000097,Myint-U_Debnath-Linear_Partial_Differential_Equations_for_Scientists_and_Engineers.pdf,D:\Readings\Analysis\calculus\Myint-U_Debnath-Linear_Partial_Differential_Equations_for_Scientists_and_Engineers.pdf,Myint-U Debnath-Linear Partial Differential Equations for Scientists and Engineers,9780817643935,Alex Gerasev. Mathematics Subject,05-differential-equations-and-dynamical-systems,partial-differential-equations,pending,,classifier=partial-differential-equations,2026-06-26T00:22:25+00:00,
SRC-000098,Patrick2012.pdf,D:\Readings\Analysis\calculus\Patrick2012.pdf,Patrick2012,9780840034175,Patrick J. Hurley,00-foundations,mathematical-logic,pending,,classifier=logic-model-theory,2026-06-26T00:22:25+00:00,
SRC-000099,plp.pdf,D:\Readings\Analysis\calculus\plp.pdf,plp,,UBC,00-foundations,mathematical-logic,pending,,classifier=logic-model-theory | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000100,Predicate_Logic.pdf,D:\Readings\Analysis\calculus\Predicate_Logic.pdf,Predicate Logic,,,00-foundations,mathematical-logic,pending,,classifier=logic-model-theory | flags=missing_toc,2026-06-26T00:22:25+00:00,
SRC-000101,Principles of Mathematical Analysis e3 - W.pdf,D:\Readings\Analysis\calculus\Principles of Mathematical Analysis e3 - W.pdf,Principles of Mathematical Analysis,,W,11-reference-and-miscellaneous,uncategorized,pending,,classifier=unknown | flags=manual_subject_review;missing_toc;needs_ocr;unknown_subject,2026-06-26T00:22:25+00:00,
SRC-000102,Probability and Statistics  The Science of  Uncertainty.pdf,D:\Readings\Analysis\calculus\Probability and Statistics  The Science of  Uncertainty.pdf,Probability and Statistics The Science of Uncertainty,,Michael Evans,06-probability-statistics-and-information,probability-theory,pending,,classifier=probability | local_bib=volume-iii-bounds-sequences-and-series,2026-06-26T00:22:25+00:00,
SRC-000105,TBB-AllChapters-Landscape.pdf,D:\Readings\Analysis\calculus\TBB-AllChapters-Landscape.pdf,Elementary Real Analysis,0130190756,Thomson,03-analysis,real-analysis,pending,,classifier=real-analysis | local_bib=volume-iii-bounds-sequences-and-series,2026-06-26T00:22:25+00:00,
SRC-000106,"The Logic Book, Sixth Edition - Merrie Bergmann.pdf","D:\Readings\Analysis\calculus\The Logic Book, Sixth Edition - Merrie Bergmann.pdf","The Logic Book, Sixth Edition",9780078038419,Merrie Bergmann,00-foundations,mathematical-logic,pending,,classifier=logic-model-theory | local_bib=volume-viii-applied-methods,2026-06-26T00:22:25+00:00,
SRC-000107,topology.pdf,D:\Readings\Analysis\calculus\topology.pdf,topology,,Author,04-topology-and-geometry,point-set-topology,pending,,classifier=topology,2026-06-26T00:22:25+00:00,
SRC-000108,Type Theory and Formal Proof An Introduction - Nederpelt.pdf,D:\Readings\Analysis\calculus\Type Theory and Formal Proof An Introduction - Nederpelt.pdf,Type Theory and Formal Proof An Introduction,9781107036505,Nederpelt,00-foundations,mathematical-logic,pending,,classifier=logic-model-theory | local_bib=volume-viii-applied-methods,2026-06-26T00:22:25+00:00,
SRC-000109,Type Theory and Functional Programming - Thompson.pdf,D:\Readings\Analysis\calculus\Type Theory and Functional Programming - Thompson.pdf,Type Theory and Functional Programming,,Thompson,00-foundations,mathematical-logic,pending,,classifier=logic-model-theory | local_bib=volume-viii-applied-methods,2026-06-26T00:22:25+00:00,
SRC-000110,Classi set theory for guided independent study.pdf,D:\Readings\Analysis\Classi set theory for guided independent study.pdf,Classi set theory for guided independent study,0412606100,Derek Goldrei,00-foundations,set-theory,pending,,classifier=set-theory,2026-06-26T00:22:25+00:00,
SRC-000111,Complex Analysis Ahlfors.pdf,D:\Readings\Analysis\Complex Analysis Ahlfors.pdf,Complex Analysis Ahlfors,,McGraw-Hill,03-analysis,complex-analysis,pending,,classifier=complex-analysis | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000113,Guid to Cultivating Complex Analysis - Lebl.pdf,D:\Readings\Analysis\Complex Analysis\Guid to Cultivating Complex Analysis - Lebl.pdf,Guide to Cultivating Complex Analysis,,Lebl,03-analysis,complex-analysis,pending,,classifier=complex-analysis,2026-06-26T00:22:25+00:00,
SRC-000114,Real and Complex Analysis - Rudin.pdf,D:\Readings\Analysis\Complex Analysis\Real and Complex Analysis - Rudin.pdf,Real and Complex Analysis,0070542341,Rudin,03-analysis,functional-analysis,pending,,classifier=functional-analysis | local_bib=volume-iii-bounds-sequences-and-series | flags=ambiguous_subject,2026-06-26T00:22:25+00:00,
SRC-000116,Complex Numbers from A to ... Z e2 - Andreescu.pdf,D:\Readings\Analysis\Complex Numbers from A to ... Z e2 - Andreescu.pdf,Complex Numbers from A to ... Z,9780817684143,Andreescu,04-topology-and-geometry,euclidean-and-classical-geometry,pending,,classifier=geometry | local_bib=volume-iii-bounds-sequences-and-series | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000118,Computability - Tourlakis.pdf,D:\Readings\Analysis\Computability - Tourlakis.pdf,Computability,9783030832018,Tourlakis,09-theoretical-computer-science,automata-and-formal-languages,pending,,classifier=theoretical-computer-science | local_bib=volume-viii-applied-methods | flags=missing_toc,2026-06-26T00:22:25+00:00,
